file, amc, state, mem, time
cnf/plazar/Blasted_Real/blasted_case110.cnf, 16384, done, 15642, 0.0868988
cnf/plazar/Blasted_Real/blasted_case136.cnf, 549755813888, done, 15147, 0.0625256
cnf/plazar/Blasted_Real/blasted_case19.cnf, 73786976294838206464, done, 15605, 0.0911329
cnf/plazar/Blasted_Real/blasted_TR_device_1_even_linear.cnf, 365375409332725729550921208179070754913983135744, done, 21282, 0.514669
cnf/plazar/Blasted_Real/blasted_case38.cnf, 4096, done, 15032, 0.0678606
cnf/plazar/Blasted_Real/blasted_case120.cnf, 70368744177664, done, 15450, 0.0820562
cnf/plazar/Blasted_Real/blasted_case6.cnf, 17179869184, done, 15413, 0.0763228
cnf/plazar/Blasted_Real/blasted_squaring20.cnf, 8388608, done, 16596, 0.190003
cnf/plazar/Blasted_Real/blasted_case21.cnf, 8192, done, 14991, 0.0699677
cnf/plazar/Blasted_Real/blasted_squaring7.cnf, 279172874240, done, 19902, 0.504004
cnf/plazar/Blasted_Real/blasted_case42.cnf, 178405961588244985132285746181186892047843328, done, 17518, 0.260067
cnf/plazar/Blasted_Real/blasted_case_1_b12_2.cnf, 274877906944, done, 16941, 0.226121
cnf/plazar/Blasted_Real/blasted_case15.cnf, 36893488147419103232, done, 15572, 0.121908
cnf/plazar/Blasted_Real/blasted_squaring4.cnf, 68719476736, done, 17526, 0.314135
cnf/plazar/Blasted_Real/blasted_case209.cnf, 309485009821345068724781056, done, 18206, 0.343137
cnf/plazar/Blasted_Real/blasted_squaring16.cnf, 2027224563712, done, 25780, 2.32895
cnf/plazar/Blasted_Real/blasted_case208.cnf, 5846006549323611672814739330865132078623730171904, done, 16539, 0.109151
cnf/plazar/Blasted_Real/blasted_case106.cnf, 4398046511104, done, 15286, 0.097481
cnf/plazar/Blasted_Real/blasted_case212.cnf, 309485009821345068724781056, done, 18206, 0.32742
cnf/plazar/Blasted_Real/blasted_case_0_b12_1.cnf, 1073741824, done, 15851, 0.124978
cnf/plazar/Blasted_Real/blasted_TR_device_1_linear.cnf, 4951760157141521099596496896, done, 18104, 0.284677
cnf/plazar/Blasted_Real/blasted_case55.cnf, 1048576, done, 15126, 0.061515
cnf/plazar/Blasted_Real/blasted_case34.cnf, 68719476736, done, 15822, 0.0901064
cnf/plazar/Blasted_Real/blasted_case118.cnf, 32768, done, 15745, 0.116555
cnf/plazar/Blasted_Real/blasted_case203.cnf, 70368744177664, done, 15319, 0.0879807
cnf/plazar/Blasted_Real/blasted_case103.cnf, 256, done, 14729, 0.0498257
cnf/plazar/Blasted_Real/blasted_case18.cnf, 2251799813685248, done, 16896, 0.295236
cnf/plazar/Blasted_Real/blasted_case_0_b12_even2.cnf, 22300745198530623141535718272648361505980416, done, 42872, 2.22651
cnf/plazar/Blasted_Real/blasted_case201.cnf, 4398046511104, done, 15167, 0.086395
cnf/plazar/Blasted_Real/blasted_squaring50.cnf, 16777216, done, 16302, 0.162348
cnf/plazar/Blasted_Real/blasted_TR_b12_even3_linear.cnf, 424043295546812239099991400178300443798596135250148549949185488310228746240, done, 63107, 8.57059
cnf/plazar/Blasted_Real/blasted_case_0_b11_1.cnf, 274877906944, done, 15814, 0.118669
cnf/plazar/Blasted_Real/blasted_case40.cnf, 36028797018963968, done, 15691, 0.133675
cnf/plazar/Blasted_Real/blasted_case101.cnf, 2097152, done, 14716, 0.0487613
cnf/plazar/Blasted_Real/blasted_case121.cnf, 274877906944, done, 15597, 0.114527
cnf/plazar/Blasted_Real/blasted_case30.cnf, 512, done, 14852, 0.0551701
cnf/plazar/Blasted_Real/blasted_case60.cnf, 16, done, 14716, 0.0455962
cnf/plazar/Blasted_Real/blasted_case116.cnf, 33554432, done, 15884, 0.120947
